size,n_actual,split,macro_f1,accuracy
50,50,0,0.5384680134680134,0.6379310344827587
50,50,1,0.432449494949495,0.5862068965517241
50,50,2,0.6071687370600415,0.6666666666666666
50,50,3,0.4541488603988604,0.6491228070175439
50,50,4,0.4786346905912124,0.631578947368421
100,100,0,0.47659048467871995,0.6551724137931034
100,100,1,0.43553574977993587,0.603448275862069
100,100,2,0.6133312933496532,0.6491228070175439
100,100,3,0.48541786691035754,0.6842105263157895
100,100,4,0.3957465139530357,0.631578947368421
150,150,0,0.5174242424242425,0.6724137931034483
150,150,1,0.5426801978003352,0.6896551724137931
150,150,2,0.61875,0.7017543859649122
150,150,3,0.43560213940648723,0.631578947368421
150,150,4,0.5271894926289865,0.6666666666666666
200,200,0,0.5088564213564214,0.6896551724137931
200,200,1,0.5390148933753585,0.6724137931034483
200,200,2,0.604483747246905,0.6842105263157895
200,200,3,0.49275180157533094,0.6666666666666666
200,200,4,0.545368173851146,0.6842105263157895
229,229,0,0.5665263259775455,0.7241379310344828
229,229,1,0.5488007363007362,0.6896551724137931
229,229,2,0.6299031986531987,0.6842105263157895
229,229,3,0.4798280423280423,0.6666666666666666
229,229,4,0.6071867946867946,0.7192982456140351
