setup,split,macro_f1,accuracy
A,0,0.5719063545150501,0.6842105263157895
B,0,0.3251851851851852,0.45614035087719296
C,0,0.46825396825396826,0.543859649122807
D,0,0.4220720720720721,0.49122807017543857
E,0,0.4773504273504273,0.543859649122807
F,0,0.4739239239239239,0.5087719298245614
G,0,0.5945664656904968,0.6491228070175439
H,0,0.6325536062378168,0.7017543859649122
A,1,0.5831409331409332,0.5964912280701754
B,1,0.29154995331465927,0.3508771929824561
C,1,0.37278658114821106,0.43859649122807015
D,1,0.5492877492877493,0.631578947368421
E,1,0.6057590557590556,0.6666666666666666
F,1,0.41783279954011654,0.5789473684210527
G,1,0.7174937783633435,0.7719298245614035
H,1,0.6928811928811929,0.7368421052631579
A,2,0.5634920634920635,0.6491228070175439
B,2,0.3602513227513227,0.38596491228070173
C,2,0.4378979857050032,0.42105263157894735
D,2,0.6169151835818503,0.6842105263157895
E,2,0.6076377813219919,0.6842105263157895
F,2,0.5474426807760141,0.631578947368421
G,2,0.6553530290372396,0.6842105263157895
H,2,0.6624329508387479,0.7192982456140351
A,3,0.6067340067340069,0.6607142857142857
B,3,0.3808464227340155,0.48214285714285715
C,3,0.5238095238095238,0.6071428571428571
D,3,0.6041609073188021,0.6785714285714286
E,3,0.5675615807194755,0.6607142857142857
F,3,0.4656808688387636,0.6428571428571429
G,3,0.6231607324630581,0.7142857142857143
H,3,0.6615680615680616,0.7678571428571429
A,4,0.5232804232804233,0.625
B,4,0.1769980506822612,0.32142857142857145
C,4,0.3123931623931624,0.39285714285714285
D,4,0.4799937358076893,0.5892857142857143
E,4,0.4673223462697147,0.5892857142857143
F,4,0.48250126726258913,0.5892857142857143
G,4,0.5819264821767951,0.6785714285714286
H,4,0.5190980095742,0.6428571428571429
A,5,0.6270926604259937,0.5789473684210527
B,5,0.40978835978835976,0.43859649122807015
C,5,0.4499030381383322,0.47368421052631576
D,5,0.4606280193236715,0.5789473684210527
E,5,0.5647520893126814,0.5964912280701754
F,5,0.5124798711755233,0.5789473684210527
G,5,0.6754435107376283,0.6666666666666666
H,5,0.6162495577528256,0.6666666666666666
A,6,0.5191022485140132,0.5263157894736842
B,6,0.28762918272722193,0.3508771929824561
C,6,0.4106461439794773,0.42105263157894735
D,6,0.5777229268457339,0.6140350877192983
E,6,0.5777229268457339,0.6140350877192983
F,6,0.5576171067399137,0.5964912280701754
G,6,0.6580910317752423,0.7192982456140351
H,6,0.6405767072433739,0.7017543859649122
A,7,0.48967236467236464,0.5789473684210527
B,7,0.2754985754985755,0.38596491228070173
C,7,0.4640118815557412,0.49122807017543857
D,7,0.6120811287477954,0.6491228070175439
E,7,0.5559964726631393,0.6140350877192983
F,7,0.4539041205707873,0.5614035087719298
G,7,0.6392295937648682,0.7368421052631579
H,7,0.6305435305435305,0.7543859649122807
A,8,0.6369352869352869,0.7142857142857143
B,8,0.23985890652557318,0.35714285714285715
C,8,0.5130325814536341,0.5357142857142857
D,8,0.6044505202399939,0.6607142857142857
E,8,0.6444832944832946,0.7142857142857143
F,8,0.5421837421837421,0.6785714285714286
G,8,0.7470899470899471,0.7857142857142857
H,8,0.7771811684092386,0.8035714285714286
A,9,0.6138777055001868,0.6428571428571429
B,9,0.3524642828990655,0.42857142857142855
C,9,0.42640322640322637,0.5
D,9,0.45494755407036114,0.5714285714285714
E,9,0.48244697689142135,0.5892857142857143
F,9,0.4208659977665825,0.5357142857142857
G,9,0.6534391534391534,0.6964285714285714
H,9,0.6903083229170186,0.7321428571428571
A,10,0.6201662534995869,0.7368421052631579
B,10,0.32229005562338897,0.43859649122807015
C,10,0.4487654320987654,0.5614035087719298
D,10,0.47749305798086283,0.6491228070175439
E,10,0.587926887926888,0.7017543859649122
F,10,0.5515671320549369,0.6666666666666666
