institution_id,canonical_name,suggested_action,decision_ror,decision_type,decision_note,ror_matched_name,ror_country,ror_score,org_type,n_projects,review_reason,ror_id,match_method,sources,name_variants
local:tata-steel,TATA STEEL UK LIMITED,check,,,no ROR match shown; UK arm vs global parent unresolved,,,,company,3.0,"global parent merged with its UK arm because 'UK' is stripped, confirm or split",,unmatched,gtr; wos,TATA STEEL UK LIMITED; Tata Steel
local:conserv-educ-res-trust-uk-earthwatch,CONSERV EDUC & RES TRUST UK (EARTHWATCH),check,accept,,Earthwatch Europe is the trust's operating name,Earthwatch Europe,GB,0.76,nonprofit,2.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CONSERV EDUC & RES TRUST UK (EARTHWATCH)
local:fashion-textile-association,UK FASHION AND TEXTILE ASSOCIATION LTD,check,reject,,different trade bodies,Textile Recycling Association,GB,0.73,company,2.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,UK FASHION AND TEXTILE ASSOCIATION LTD
local:de-montfort-university-higher-education-corporation,DE MONTFORT UNIVERSITY HIGHER EDUCATION CORPORATION,check,accept,,"same university, legal form suffix only",De Montfort University,GB,1.0,education,2.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,DE MONTFORT UNIVERSITY HIGHER EDUCATION CORPORATION
local:centre-for-engineering-education-development,CENTRE FOR ENGINEERING EDUCATION & DEVELOPMENT,check,reject,,unrelated Wellcome/EPSRC centre,Wellcome EPSRC Centre for Medical Engineering,GB,0.85,nonprofit,2.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CENTRE FOR ENGINEERING EDUCATION & DEVELOPMENT
local:london-borough-newham,LONDON BOROUGH OF NEWHAM,check,reject,,wrong London borough,London Borough of Hackney,GB,0.91,government,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,LONDON BOROUGH OF NEWHAM
local:european-marine-energy-centre,THE EUROPEAN MARINE ENERGY CENTRE LIMITED,check,accept,,"same centre, 'Limited' stripped",European Marine Energy Centre,GB,1.0,company,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,THE EUROPEAN MARINE ENERGY CENTRE LIMITED
local:centre-for-energy-equality,CENTRE FOR ENERGY EQUALITY LTD,check,reject,,Centre for Life is unrelated,Centre for Life,GB,0.89,company,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CENTRE FOR ENERGY EQUALITY LTD
local:institute-development-studies,Institute of Development Studies,check,accept,,exact match,Institute of Development Studies,GB,1.0,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; openalex,Institute of Development Studies
local:open-university,The Open University,check,accept,,exact match,The Open University,GB,1.0,education,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; openalex; scopus,The Open University
local:kingston-university,Kingston University,check,accept,,exact match,Kingston University,GB,1.0,education,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; openalex,KINGSTON UNIVERSITY; Kingston University
local:scottish-association-for-marine-science,The Scottish Association for Marine Science,check,accept,,"same body, article/case differ",Scottish Association For Marine Science,GB,1.0,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; openalex; scopus,SCOTTISH ASSOCIATION FOR MARINE SCIENCE; Scottish Association For Marine Science; The Scottish Association for Marine Science
local:hydrosurv-unmanned-survey,HYDROSURV UNMANNED SURVEY (UK) LTD,check,reject,,unrelated automotive firm,International Automotive Desig (United Kingdom),GB,0.74,company,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,HYDROSURV UNMANNED SURVEY (UK) LTD
local:plymouth-marine-laboratory,Plymouth Marine Laboratory,check,accept,,exact match,Plymouth Marine Laboratory,GB,1.0,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; openalex; scopus; wos,PLYMOUTH MARINE LABORATORY; Plymouth Marine Laboratory
ror:04x62fc64,Textile Recycling Association,check,accept,nonprofit,"match fine; trade association, not a company",Textile Recycling Association,GB,1.0,company,1.0,"legal form says company but the name suggests a research body, confirm the type",https://ror.org/04x62fc64,ror_auto,gtr,TEXTILE RECYCLING ASSOCIATION LIMITED
local:london-borough-islington-islington-council,LONDON BOROUGH OF ISLINGTON (ISLINGTON COUNCIL),check,accept,,"same council, trading name in brackets",London Borough of Islington,GB,1.0,government,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,LONDON BOROUGH OF ISLINGTON (ISLINGTON COUNCIL)
local:pandamatenga-commercial-farmers-association,PANDAMATENGA COMMERCIAL FARMERS ASSOCIATION,check,reject,,Botswana farmers' body vs UK bee farmers,Bee Farmers Association,GB,0.93,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,PANDAMATENGA COMMERCIAL FARMERS ASSOCIATION
local:carbon-trust,THE CARBON TRUST,check,accept,,"same trust, article stripped",Carbon Trust,GB,1.0,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,THE CARBON TRUST
local:construction-products-association,CONSTRUCTION PRODUCTS ASSOCIATION,check,reject,,construction vs mineral products bodies,Mineral Products Association,GB,0.88,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CONSTRUCTION PRODUCTS ASSOCIATION
local:shetland-islands-council,SHETLAND ISLANDS COUNCIL,check,accept,,exact match,Shetland Islands Council,GB,1.0,government,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,SHETLAND ISLANDS COUNCIL
local:open-data-manchester-cic,OPEN DATA MANCHESTER CIC,check,reject,,unrelated NIHR biomedical centre,NIHR Manchester Biomedical Research Centre,GB,0.86,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,OPEN DATA MANCHESTER CIC
local:strathmore-energy-research-centre,STRATHMORE ENERGY RESEARCH CENTRE,check,reject,,Strathmore (Kenya) vs UKERC,UK Energy Research Centre,GB,0.96,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,STRATHMORE ENERGY RESEARCH CENTRE
local:ramboll,Ramboll,check,,,no ROR match shown; UK arm vs global parent unresolved,,,,company,1.0,"global parent merged with its UK arm because 'UK' is stripped, confirm or split",,unmatched,gtr; wos,RAMBOLL UK LIMITED; Ramboll
local:sruc,SRUC,assign a type,,education,SRUC = Scotland's Rural College,,,,unknown,3.0,"no type rule matched, assign a type",,unmatched,gtr,SRUC
local:fly2feed,FLY2FEED,assign a type,,company,insect protein SME,,,,unknown,2.0,"no type rule matched, assign a type",,unmatched,gtr,FLY2FEED
local:energy-industry-development-initiative,ENERGY INDUSTRY DEVELOPMENT INITIATIVE,assign a type,reject,other,"MENTOR Initiative unrelated; type unclear, verify",The MENTOR Initiative,GB,0.94,unknown,2.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,ENERGY INDUSTRY DEVELOPMENT INITIATIVE
